route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2767,1,131183,Portsmouth / Cushing Lots,M106G,1,51636,10621,0,0
2768,1,131194,Pentagon,M201,0,51561,10622,0,0
2768,1,131195,Pentagon,M202,0,51587,10622,0,0
2768,1,131196,Pentagon,M203,0,51642,10622,0,0
2768,1,131200,Pentagon,M204,0,51344,10622,0,0
2768,1,131197,Pentagon,M205,0,52376,10622,0,0
2768,1,131198,Pentagon,M206,0,51419,10622,0,0
2768,1,131199,Pentagon,M207,0,51514,10622,0,0
2768,1,131201,Portsmouth / Cushing / Limestone Lots,M201G,1,51644,10626,0,0
2768,1,131202,Portsmouth / Cushing / Limestone Lots,M202G,1,51619,10626,0,0
2768,1,131203,Manassas / Portsmouth Lot,M203,1,51359,10624,0,0
2768,1,131204,Manassas / Portsmouth Lot,M204,1,51646,10624,0,0
2768,1,131205,Manassas / Portsmouth Lot,M205,1,51647,10624,0,0
2768,1,131206,Manassas / Portsmouth Lot,M206,1,51375,10624,0,0
2768,1,131209,Manassas / Portsmouth Lot,M207,1,51359,10624,0,0
2768,1,131207,Portsmouth / Cushing / Limestone,M208G,1,51373,10625,0,0
2768,1,131208,Portsmouth / Cushing / Limestone,M209G,1,51648,10625,0,0
2769,1,131223,L'Enfant Plaza / Washington DC,MC101,0,51558,10627,0,0
2769,1,131224,L'Enfant Plaza / Washington DC,MC102X,0,51559,10628,0,0
2769,1,131225,L'Enfant Plaza / Washington DC,MC103,0,51654,10627,0,0
2769,1,131226,L'Enfant Plaza / Washington DC,MC104X,0,51420,10628,0,0
2769,1,131227,L'Enfant Plaza / Washington DC,MC105,0,51655,10627,0,0
2769,1,131228,L'Enfant Plaza / Washington DC,MC106,0,51451,10627,0,0
2769,1,131229,Pentagon / L'Enfant Plaza / Washington DC,MC107,0,51656,10629,0,0
2769,1,131230,Pentagon / L'Enfant Plaza / Washington DC,MC108,0,51339,10629,0,0
2769,1,131231,Pentagon / L'Enfant Plaza / Washington DC,MC109,0,51556,10629,0,0
2769,1,131232,"Montclair / for D300, L200, M transfer at Pentagon",MC101,1,51657,10633,0,0
2769,1,131233,"Montclair / for D300, L200, M transfer at Pentagon",MC102,1,51658,10630,0,0
2769,1,131234,234 Lot / Montclair,MC103,1,51539,10631,0,0
2769,1,131235,234 Lot / Montclair,MC104,1,51636,10631,0,0
2769,1,131236,234 Lot / Montclair,MC105,1,51459,10631,0,0
2769,1,131237,234 Lot / Montclair,MC106,1,51659,10631,0,0
2769,1,131238,234 Lot / Montclair,MC107,1,51660,10631,0,0
2769,1,131239,234 Lot / Montclair,MC108,1,51661,10631,0,0
2769,1,131240,234 Lot / Montclair,MC109,1,51662,10631,0,0
2769,1,131241,234 Lot / Montclair,MC110,1,51663,10631,0,0
2769,1,131242,Pentagon / Montclair / 234 Lot,MC111,1,51664,10632,0,0
2769,1,131243,"Montclair / for D300, L200, M transfer at Pentagon",MC112,1,51592,10630,0,0
2770,1,131262,Pentagon,MC201X,0,51556,10634,0,0
2770,1,131263,Pentagon,MC202,0,51337,10635,0,0
2770,1,131268,Pentagon,MC203,0,51679,10635,0,0
2770,1,131264,Pentagon,MC204,0,51615,10635,0,0
2770,1,131265,Pentagon,MC205,0,51585,10635,0,0
2770,1,131266,Pentagon,MC206,0,51677,10635,0,0
2770,1,131267,Pentagon,MC207,0,51678,10635,0,0
2770,1,131269,Montclair / 234 Lot,MC201,1,51570,10636,0,0
2770,1,131270,Montclair / 234 Lot,MC202,1,51371,10636,0,0
2770,1,131271,Montclair / 234 Lot,MC203,1,51571,10636,0,0
2770,1,131272,Montclair / 234 Lot,MC204,1,51591,10636,0,0
2770,1,131273,Montclair / 234 Lot,MC205,1,51658,10636,0,0
2770,1,131274,Montclair / 234 Lot,MC206,1,51680,10636,0,0
2770,1,131275,Montclair / 234 Lot,MC207,1,51681,10636,0,0
2770,1,131276,Montclair / 234 Lot,MC208,1,51682,10636,0,0
2770,1,131277,Montclair / 234 Lot,MC209,1,51454,10636,0,0
2770,1,131278,Montclair / 234 Lot,MC210,1,51424,10636,0,0
2770,1,131279,Montclair / 234 Lot,MC211,1,51566,10636,0,0
2771,1,131301,Manassas Metro Direct / Tysons Corner Metro,MT1,0,51687,10637,0,0
