trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
356140,BL,2282,"Reagan National Airport Metro",,1,17762514,shp-BL-01,0,0,
357140,BL,2282,"Reagan National Airport Metro",,1,17762614,shp-BL-01,0,0,
358140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
359140,BL,2282,"Reagan National Airport Metro",,1,17762814,shp-BL-01,0,0,
360140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
361140,BL,2282,"Reagan National Airport Metro",,1,17763014,shp-BL-01,0,0,
363140,BL,2282,"Reagan National Airport Metro",,1,156660914,shp-BL-01,0,0,
364140,BL,2282,"Reagan National Airport Metro",,1,17762314,shp-BL-01,0,0,
365140,BL,2282,"Reagan National Airport Metro",,1,17762214,shp-BL-01,0,0,
366140,BL,2282,"Reagan National Airport Metro",,1,17762414,shp-BL-01,0,0,
367140,BL,2282,"Reagan National Airport Metro",,1,17762514,shp-BL-01,0,0,
368140,BL,2282,"Reagan National Airport Metro",,1,17762614,shp-BL-01,0,0,
369140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
370140,BL,2282,"Reagan National Airport Metro",,1,17762814,shp-BL-01,0,0,
371140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
372140,BL,2282,"Reagan National Airport Metro",,1,17763014,shp-BL-01,0,0,
374140,BL,2282,"Reagan National Airport Metro",,1,156660914,shp-BL-01,0,0,
376140,BL,2282,"Reagan National Airport Metro",,1,17762214,shp-BL-01,0,0,
377140,BL,2282,"Reagan National Airport Metro",,1,17762414,shp-BL-01,0,0,
379140,BL,2282,"Reagan National Airport Metro",,1,17762614,shp-BL-01,0,0,
380140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
381140,BL,2282,"Reagan National Airport Metro",,1,17762814,shp-BL-01,0,0,
382140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
383140,BL,2282,"Reagan National Airport Metro",,1,17763014,shp-BL-01,0,0,
385140,BL,2282,"Reagan National Airport Metro",,1,156660914,shp-BL-01,0,0,
387140,BL,2282,"Reagan National Airport Metro",,1,17762214,shp-BL-01,0,0,
388140,BL,2282,"Reagan National Airport Metro",,1,17762414,shp-BL-01,0,0,
390140,BL,2282,"Reagan National Airport Metro",,1,17762614,shp-BL-01,0,0,
391140,BL,2282,"Reagan National Airport Metro",,1,17762814,shp-BL-01,0,0,
392140,BL,2282,"Reagan National Airport Metro",,1,17763014,shp-BL-01,0,0,
398140,BL,2282,"Reagan National Airport Metro",,1,17763014,shp-BL-01,0,0,
399140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
941140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
7235140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7236140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7237140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7238140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7239140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7240140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7241140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7242140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7243140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7244140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7245140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7246140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7247140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7248140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7249140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7250140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7695140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7696140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7697140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7698140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7699140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7700140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7701140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7702140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7703140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7704140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7705140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7706140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7707140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7708140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7709140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7710140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7711140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7712140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7713140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7714140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7715140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7716140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7717140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7718140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7719140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7720140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7721140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7722140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7723140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7724140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7725140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7726140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7727140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7728140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7729140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7730140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7731140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7732140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7733140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7734140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7735140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7736140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7737140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7738140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7739140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7740140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7741140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7742140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7743140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7744140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7745140,KST,2282,"King St Metro",,0,188330714,shp-KST-52,0,0,
7746140,KST,2282,"King St Metro",,0,188330814,shp-KST-52,0,0,
7747140,KST,2282,"King St Metro",,0,188330914,shp-KST-52,0,0,
7748140,KST,2282,"King St Metro",,0,188331014,shp-KST-52,0,0,
7749140,KST,2282,"King St Metro",,0,188331114,shp-KST-52,0,0,
7219140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7220140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7221140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7222140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7223140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7224140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7225140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7226140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7227140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7228140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7229140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7230140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7231140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7232140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7233140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7234140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7640140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7641140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7642140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7643140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7644140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7645140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7646140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7647140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7648140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7649140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7650140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7651140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7652140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7653140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7654140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7655140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7656140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7657140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7658140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7659140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7660140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7661140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7662140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7663140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7664140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7665140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7666140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7667140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7668140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7669140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7670140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7671140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7672140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7673140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7674140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7675140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7676140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7677140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7678140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7679140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7680140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7681140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7682140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7683140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7684140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7685140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7686140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7687140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7688140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7689140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
7690140,KST,2282,"Waterfront\Union St",,1,188330914,shp-KST-02,0,0,
7691140,KST,2282,"Waterfront\Union St",,1,188331014,shp-KST-02,0,0,
7692140,KST,2282,"Waterfront\Union St",,1,188331114,shp-KST-02,0,0,
7693140,KST,2282,"Waterfront\Union St",,1,188330714,shp-KST-02,0,0,
7694140,KST,2282,"Waterfront\Union St",,1,188330814,shp-KST-02,0,0,
6594070,AT1,2283,"Van Dorn Metro",,0,184753807,shp-1-55,2,2,
6595070,AT1,2283,"Van Dorn Metro",,0,184753707,shp-1-55,2,2,
6596070,AT1,2283,"Van Dorn Metro",,0,184753807,shp-1-55,2,2,
6597070,AT1,2283,"Van Dorn Metro",,0,184753707,shp-1-55,2,2,
6598070,AT1,2283,"Van Dorn Metro",,0,184753807,shp-1-55,2,2,
6599070,AT1,2283,"Van Dorn Metro",,0,184753707,shp-1-55,2,2,
6600070,AT1,2283,"Van Dorn Metro",,0,184753607,shp-1-55,2,2,
6601070,AT1,2283,"Van Dorn Metro",,0,184753507,shp-1-55,2,2,
6602070,AT1,2283,"Van Dorn Metro",,0,184753907,shp-1-55,2,2,
6603070,AT1,2283,"Van Dorn Metro",,0,184753807,shp-1-55,2,2,
6604070,AT1,2283,"Van Dorn Metro",,0,184753707,shp-1-55,2,2,
6605070,AT1,2283,"Van Dorn Metro",,0,184753607,shp-1-55,2,2,
6606070,AT1,2283,"Van Dorn Metro",,0,184753507,shp-1-55,2,2,
6607070,AT1,2283,"Van Dorn Metro",,0,184753607,shp-1-55,2,2,
6608070,AT1,2283,"Van Dorn Metro",,0,184753507,shp-1-55,2,2,
6609070,AT1,2283,"Landmark Mall",,0,185492907,shp-1-56,2,2,
6610070,AT1,2283,"Landmark Mall",,0,185492807,shp-1-56,2,2,
6611070,AT1,2283,"Landmark Mall",,0,185492707,shp-1-56,2,2,
6612070,AT1,2283,"Landmark Mall",,0,185492907,shp-1-56,2,2,
6613070,AT1,2283,"Landmark Mall",,0,185492807,shp-1-56,2,2,
6614070,AT1,2283,"Landmark Mall",,0,185492707,shp-1-56,2,2,
6615070,AT1,2283,"Landmark Mall",,0,185492907,shp-1-56,2,2,
6616070,AT1,2283,"Landmark Mall",,0,185492807,shp-1-56,2,2,
6617070,AT1,2283,"Landmark Mall",,0,185492707,shp-1-56,2,2,
6618070,AT1,2283,"Landmark Mall",,0,185492907,shp-1-56,2,2,
6619070,AT1,2283,"Landmark Mall",,0,185492807,shp-1-56,2,2,
6620070,AT1,2283,"Landmark Mall",,0,185492707,shp-1-56,2,2,
7029070,AT1,2283,"Van Dorn Metro",,0,184753607,shp-1-55,2,2,
6566070,AT1,2283,"Seminary Plaza",,1,184753707,shp-1-03,2,2,
6567070,AT1,2283,"Seminary Plaza",,1,184753807,shp-1-03,2,2,
6568070,AT1,2283,"Seminary Plaza",,1,184753707,shp-1-03,2,2,
6569070,AT1,2283,"Seminary Plaza",,1,184753807,shp-1-03,2,2,
6570070,AT1,2283,"Seminary Plaza",,1,184753707,shp-1-03,2,2,
6571070,AT1,2283,"Seminary Plaza",,1,184753607,shp-1-03,2,2,
6572070,AT1,2283,"Seminary Plaza",,1,184753507,shp-1-03,2,2,
6573070,AT1,2283,"Seminary Plaza",,1,184753907,shp-1-03,2,2,
6574070,AT1,2283,"Seminary Plaza",,1,184753807,shp-1-03,2,2,
6575070,AT1,2283,"Seminary Plaza",,1,184753707,shp-1-03,2,2,
6576070,AT1,2283,"Seminary Plaza",,1,184753607,shp-1-03,2,2,
6577070,AT1,2283,"Seminary Plaza",,1,184753507,shp-1-03,2,2,
6578070,AT1,2283,"Seminary Plaza",,1,184753607,shp-1-03,2,2,
6579070,AT1,2283,"Seminary Plaza",,1,184753607,shp-1-03,2,2,
6580070,AT1,2283,"Seminary Plaza",,1,184753507,shp-1-03,2,2,
6581070,AT1,2283,"Seminary Plaza",,1,184753607,shp-1-03,2,2,
6582070,AT1,2283,"Seminary Plaza",,1,185492807,shp-1-04,2,2,
6583070,AT1,2283,"Seminary Plaza",,1,185492707,shp-1-04,2,2,
6584070,AT1,2283,"Seminary Plaza",,1,185492907,shp-1-04,2,2,
6585070,AT1,2283,"Seminary Plaza",,1,185492807,shp-1-04,2,2,
6586070,AT1,2283,"Seminary Plaza",,1,185492707,shp-1-04,2,2,
6587070,AT1,2283,"Seminary Plaza",,1,185492907,shp-1-04,2,2,
6588070,AT1,2283,"Seminary Plaza",,1,185492807,shp-1-04,2,2,
6589070,AT1,2283,"Seminary Plaza",,1,185492707,shp-1-04,2,2,
6590070,AT1,2283,"Seminary Plaza",,1,185492907,shp-1-04,2,2,
6591070,AT1,2283,"Seminary Plaza",,1,185492807,shp-1-04,2,2,
6592070,AT1,2283,"Seminary Plaza",,1,185492707,shp-1-04,2,2,
6593070,AT1,2283,"Seminary Plaza",,1,184753507,shp-1-03,2,2,
7020070,AT1,2283,"Seminary Plaza",,1,185492907,shp-1-04,2,2,
6671070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6672070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
6673070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6674070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
6675070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6676070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
6677070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6678070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
6679070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6680070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
6681070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6682070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
6683070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6684070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
6685070,AT10,2283,"King St Metro",,0,184727107,shp-10-51,2,2,
6686070,AT10,2283,"King St Metro",,0,184727207,shp-10-51,2,2,
