route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11321,537,182787,Rosslyn,,1,605,8549,1,1
11323,492,177627,National Mall,,0,803,7685,1,1
11320,490,178024,Eastern Market,,0,504,8823,1,1
11321,535,185154,Rosslyn,,1,603,8549,1,1
11318,537,186069,Georgetown,,1,102,8550,1,1
11320,537,186167,L'Enfant Plaza,,1,508,8822,1,1
11319,537,183798,Woodley Park,,1,203,8556,1,1
11319,534,184852,Woodley Park,,1,202,8556,1,1
11318,491,176518,Union Station,,0,111,8551,1,1
11321,534,182757,Rosslyn,,1,603,8549,1,1
11323,492,176808,National Mall,,0,803,7685,1,1
11321,534,183140,Rosslyn,,1,605,8549,1,1
11318,491,175980,Union Station,,0,112,8551,1,1
11318,537,186430,Georgetown,,1,109,8550,1,1
11319,535,182777,McPherson Square Metro,,0,201,8557,1,1
11320,535,185515,Eastern Market,,0,503,8823,1,1
11321,534,183975,Dupont Circle,,0,606,8548,1,1
11322,493,177703,Union Station,,0,702,8818,1,1
11321,537,186714,Rosslyn,,1,603,8549,1,1
11319,535,184555,McPherson Square Metro,,0,207,8557,1,1
11321,535,184240,Dupont Circle,,0,602,8548,1,1
11320,492,177616,Eastern Market,,0,509,8823,1,1
11318,534,184965,Georgetown,,1,109,8550,1,1
11318,534,182817,Union Station,,0,115,8551,1,1
11323,534,184371,National Mall,,0,804,7685,1,1
11321,493,176344,Dupont Circle,,0,604,8548,1,1
11322,491,179615,Congress Heights,,1,701,8819,1,1
11319,492,176998,Woodley Park,,1,203,8556,1,1
11321,492,177418,Dupont Circle,,0,609,8548,1,1
11319,535,185584,McPherson Square Metro,,0,206,8557,1,1
11320,537,186319,L'Enfant Plaza,,1,508,8822,1,1
11321,536,185104,Rosslyn,,1,602,8549,1,1
11319,535,184833,McPherson Square Metro,,0,209,8557,1,1
11319,492,177119,Woodley Park,,1,203,8556,1,1
11322,534,185275,Congress Heights,,1,709,8819,1,1
11318,492,178306,Georgetown,,1,106,8550,1,1
11320,491,179372,L'Enfant Plaza,,1,505,8822,1,1
11318,537,186566,Georgetown,,1,105,8550,1,1
11319,490,179338,McPherson Square Metro,,0,206,8557,1,1
11320,492,179697,L'Enfant Plaza,,1,508,8822,1,1
11320,537,186303,L'Enfant Plaza,,1,506,8822,1,1
11321,535,183257,Rosslyn,,1,602,8549,1,1
11318,535,183440,Union Station,,0,108,8551,1,1
11319,536,186170,McPherson Square Metro,,0,213,8557,1,1
11321,537,186154,Dupont Circle,,0,604,8548,1,1
11318,490,177651,Union Station,,0,110,8551,1,1
11319,536,186225,McPherson Square Metro,,0,211,8557,1,1
11321,537,186395,Rosslyn,,1,603,8549,1,1
11318,536,186753,Georgetown,,1,112,8550,1,1
11320,534,185560,L'Enfant Plaza,,1,504,8822,1,1
11319,492,178814,Woodley Park,,1,208,8556,1,1
11322,490,177979,Congress Heights,,1,707,8819,1,1
11321,534,184699,Rosslyn,,1,603,8549,1,1
