stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
123796,1000252,Stanton Road and Elvans Road SE,,38.85464,-76.98617,,,,,,
113371,1001951,Columbia Road between 15th and 16th Streets NW,,38.92689,-77.03594,,,,,,
123808,1000566,7th Street and I Street SW,,38.87996,-77.02203,,,,,,
113320,1003866,Union Station Parking Garage,,38.89932,-77.00643,,,,,,
113334,1003813,(Lower) K Street and 30th Street NW,,38.90268,-77.05885,,,,,,
113399,1003755,8th Street and L Street SE,,38.87723,-76.99509,,,,,,
113365,1001033,First Street and Massachusetts Avenue NE (Union Station),,38.89687,-77.00803,,,,,,
123809,1000821,8th Street and E Capitol NE,,38.88998,-76.99505,,,,,,
113411,1001333,New Hampshire Avenue and M Street NW,,38.90565,-77.04732,,,,,,
123801,1000316,Sheridan Road and Bowen Road SE,,38.85916,-76.99346,,,,,,
113339,1001496,Wisconsin Avenue and Q Street NW,,38.91105,-77.06518,,,,,,
123804,1000495,M Street and Delaware Ave SW,,38.87635,-77.01336,,,,,,
123818,1003690,M Street and 4th Street SW,,38.87656,-77.01802,,,,,,
113349,1001321,M Street and Thomas Jefferson Street NW,,38.90511,-77.06047,,,,,,
113456,1003854,Jefferson Drive and 7th Street SW,,38.88865,-77.02262,,,,,,
113381,1001257,13th Street and K Street NW,,38.90277,-77.02977,,,,,,
113416,1003204,M Street and Wisconsin Avenue NW,,38.90526,-77.06320,,,,,,
113449,1003852,East Basin Drive SW at Jefferson Memorial,,38.87993,-77.03740,,,,,,
123805,1000498,M Street and 4th Street SW,,38.87635,-77.01719,,,,,,
113340,1001593,Wisconsin Avenue and R Street NW,,38.91402,-77.06674,,,,,,
113425,1000398,Martin Luther King Jr Ave and W Street SE,,38.86501,-76.98980,,,,,,
113338,1001406,Wisconsin Avenue and P Street NW,,38.90907,-77.06412,,,,,,
113351,1001290,Pennsylvania Avenue and 26th Street NW,,38.90386,-77.05432,,,,,,
